ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,
1,20000,2,2,1,24,2,2,-1,-1,-2,-2,3913,3102,689,0,0,0,0,689,0,0,,0,
2,120000,2,2,2,26,-1,2,0,0,0,2,2682,1725,2682,3272,3455,3261,0,1000,1000,1000,0,2000,
3,90000,2,,2,34,0,0,0,0,0,0,29239,14027,13559,14331,14948,15549,1518,1500,1000,1000,1000,5000,
4,50000,2,2,1,37,0,0,0,0,0,0,46990,311456.2826,49291,28314,28959,29547,2000,2019,1200,1100,1069,1000,
5,50000,1,2,1,57,-1,0,-1,0,0,0,8617,5670,35835,20940,19146,19131,2000,36681,10000,9000,689,679,
6,50000,1,1,2,37,0,,0,0,15,0,64400,57069,57608,19394,19619,,2500,1815,657,1000,1000,800,
7,500000,1,1,2,29,0,0,0,0,0,0,367965,412023,445007,542653,483003,473944,55000,40000,38000,20239,13750,-566,
8,100000,2,2,2,23,0,-1,-1,0,0,-1,11876,380,,221,-159,567,380,601,0,581,1687,1542,
9,140000,2,3,1,28,14,0,2,0,0,0,11285,14096,12108,12211,11793,3719,3329,0,432,1000,1000,1000,
10,20000,1,3,2,35,-2,-2,-2,-2,-1,-1,0,0,0,0,13007,13912,0,0,0,13007,1122,0,
11,200000,2,3,2,34,0,0,2,0,0,-1,11073,9787,5535,2513,1828,3731,2306,12,50,300,-11278.59393,66,
12,260000,9,1,2,51,,-1,,-1,-1,2,12261,21670,9966,8517,-773,13668,21818,9966,8583,22301,0,3640,
13,630000,2,2,2,41,-1,0,-1,-1,-1,-1,12137,6500,6500,6500,6500,,1000,6500,6500,6500,2870,0,
14,70000,1,2,2,30,1,2,2,0,0,2,65802,,65701,66782,36137,36894,3200,0,3000,3000,1500,,
15,250000,1,1,2,29,0,0,0,0,0,0,70887,67060,63561,59696,56875,55512,3000,3000,3000,3000,3000,3000,
16,50000,2,3,3,23,1,2,0,0,0,0,50614,29173,28116,28771,29531,30211,0,1500,1100,1200,1300,1100,
17,20000,1,1,2,-19,,0,2,2,2,2,15376,18010,17428,18338,17905,19104,3200,0,1500,0,1650,0,
18,320000,1,1,1,49,0,0,0,-1,14,-1,253286,246536,194663,70074,5856,195599,10358,10000,75940,20000,195599,50000,
19,360000,2,1,1,49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,
20,180000,2,1,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,,0,0,0,0,0,0,
21,130000,2,3,2,39,0,0,0,0,0,-1,38358,27688,24489,20616,11802,930,3000,1537,1000,2000,930,33764,
22,120000,2,13,1,39,-1,-1,-1,-1,-1,-1,316,316,316,0,632,316,316,316,0,632,316,0,
23,70000,2,2,2,26,2,0,0,2,2,2,41087,42445,45020,44006,46905,46012,2007,3582,0,3601,0,1820,
24,450000,2,1,1,40,-2,-2,-2,-2,-2,-2,5512,,1473,560,0,0,19428,1473,560,0,0,1128,
25,90000,1,1,2,23,0,0,0,-1,0,0,4744,7070,0,-712,6360,8292,5757,0,5398,,2045,2000,
26,,1,3,2,23,0,0,0,0,11,0,47620,41810,36023,28967,29829,30046,1973,1426,1001,1432,1062,997,
27,60000,1,1,,27,1,-2,-1,-1,-1,-1,-109,-425,259,-57,249785.6514,-189,0,1000,0,500,0,1000,
28,50000,2,3,,30,0,0,0,0,0,0,22541,16138,17163,17878,18931,19617,1300,,1000,1500,1000,1012,
29,50000,2,,1,47,-1,-1,-1,-1,-1,-1,650,3415,3416,2040,30430,257,3415,3421,2044,30430,257,0,
30,50000,1,1,2,26,0,0,0,0,0,0,15329,16575,17496,17907,18375,11400,1500,1500,1000,1000,1600,0,
31,,2,1,2,27,-1,-1,-1,-1,-1,-1,16646,17265,13266,15339,14307,36923,17270,13281,15339,14307,37292,0,
32,50000,1,2,2,33,,0,0,0,0,0,30518,29618,22102,22734,23217,23680,1718,1500,1000,1000,1000,716,
33,100000,1,1,2,32,0,0,0,0,0,0,93036,84071,82880,80958,,75589,3023,3511,3302,3204,3200,2504,
34,500000,2,2,1,54,10,-2,-2,-2,-2,-2,10929,4152,22722,7521,71439,8981,4152,22827,7521,71439,981,51582,
35,500000,,1,1,58,-2,-2,-2,-2,-2,-2,13709,-165146.4801,31130,3180,0,5293,5006,31178,3180,0,5293,768,
36,160000,1,1,2,30,-1,-1,-2,-2,-2,-1,30265,,-527,-923,-1488,-1884,131,396,396,565,792,-14340.40734,
37,280000,1,2,1,40,0,0,0,0,0,0,186503,181328,180422,170410,173901,,8026,8060,6300,6400,6400,6737,
38,60000,2,2,2,22,0,0,0,0,0,-1,15054,9806,11068,6026,-28335,18660,1500,1518,2043,0,47671,617,
39,50000,1,1,2,25,1,-1,-1,-2,-2,-2,0,780,0,0,0,0,780,0,0,0,0,0,
40,280000,1,1,2,31,-1,,2,-1,0,-1,,9075,4641,9976,17976,9477,9075,0,9976,8000,9525,781,
41,360000,1,1,2,33,0,0,0,4,0,0,218668,221296,206895,628699,195969,179224,10000,7000,6000,188840,28000,4000,
42,70000,2,1,2,25,0,0,0,0,0,0,67521,66999,63949,63699,64718,65970,3000,4500,4042,2500,2800,2500,
43,,1,2,2,22,0,0,0,0,0,,1877,3184,6003,3576,3670,4451,1500,2927,1000,300,1000,500,
44,140000,2,2,1,37,0,0,0,0,0,0,59504,61544,62925,64280,67079,69802,3000,3000,3000,4000,4000,3000,
45,40000,2,1,2,30,0,0,0,3,0,0,18927,21295,25921,25209,26636,29197,3000,5000,0,2000,3000,0,
46,210000,1,1,2,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,
47,20000,2,1,2,22,0,0,2,-1,0,0,14028,16484,15800,16341,,0,3000,0,16741,334,0,0,
48,150000,2,5,2,46,0,0,-1,0,0,-2,4463,3034,1170,1170,0,0,1013,1170,0,0,0,0,
49,380000,1,2,2,32,-1,-1,-1,-1,-1,-1,22401,21540,15134,32018,11849,11873,21540,15138,,11851,11875,8251,
50,20000,1,1,2,24,-5,0,0,0,0,0,17447,18479,19476,19865,20480,20063,1318,1315,704,928,912,-55,
51,70000,1,3,2,42,1,2,2,2,2,0,37042,36171,38355,39423,38659,39362,0,3100,2000,0,1500,1500,
52,100000,2,,3,43,0,0,0,0,0,0,61559,51163,43824,39619,35762,33258,2000,1606,1500,2000,1500,1000,
53,310000,2,2,1,49,-2,-2,-2,-2,-2,-2,13465,7867,7600,11185,3544,,7875,7600,11185,3544,464,0,
54,180000,2,1,2,25,1,2,,,0,0,41402,41742,42758,43510,44420,45319,1300,2010,1762,1762,1790,1622,
